Food,Calories (kcal/g),Carbs (g/g),Protein (g/g),Fat (g/g),Fiber (g/g)
Chapati,2.5,0.5,0.07,0.03,0.1
Rice (cooked),1.3,0.3,0.03,0.01,0.04
Dosa,1.5,0.3,0.04,0.05,0.02
Idli,0.9,0.2,0.03,0.02,0.01
Soy Chunks (cooked),3.9,0.4,0.9,0.04,0.1
Chana (cooked),1.6,0.3,0.07,0.02,0.05
Paneer (cooked),2.1,0.02,0.18,0.17,0.02
Egg (raw),1.43,0.01,0.125,0.1,0
Yogurt,0.6,0.04,0.03,0.03,0
Dal (cooked),1.1,0.2,0.08,0.02,0.08
Milk (whole),0.6,0.05,0.03,0.04,0
Chicken (cooked),2.5,0,0.27,0.05,0
Fish (cooked),1.2,0,0.22,0.07,0
Mutton (cooked),2.7,0,0.25,0.15,0
Tofu,0.8,0.08,0.08,0.05,0.08
Peanuts,5.6,0.16,0.26,0.49,0.09
Almonds,5.7,0.14,0.21,0.5,0.12
Cashews,5.5,0.3,0.18,0.44,0.06
Ghee,9,0,0,1,0
Butter,7.2,0,0,0.8,0
Oil (Vegetable),9,0,0,1,0
Potato (boiled),0.8,0.2,0.02,0.002,0.02
Sweet Potato (boiled),0.9,0.2,0.02,0.002,0.03
Banana,0.9,0.2,0.01,0.002,0.03
Apple,0.5,0.14,0.01,0.001,0.02
Mango,0.6,0.1,0.006,0.002,0.02
Carrot,0.2,0.04,0.01,0.002,0.02
Tomato,0.4,0.1,0.01,0.003,0.01
Onion,0.2,0.03,0.02,0.002,0.02
Spinach,0.3,0.05,0.02,0.002,0.02
Cauliflower,0.2,0.04,0.01,0.002,0.02
Cabbage,0.2,0.05,0.01,0.003,0.02
Brinjal (Eggplant),0.3,0.06,0.02,0.002,0.03
